card_1,card_2,card_3,card_4,card_5,hand,bid,hand_type,best_card,hand2,rank
4,4,10,6,6,44T66,82,3,6,44T66,491
4,7,7,3,4,47734,393,3,7,47734,492
4,8,7,8,7,48787,581,3,8,48787,493
4,12,8,4,12,4Q84Q,448,3,Q,4Q84Q,494
4,12,12,8,8,4QQ88,255,3,Q,4QQ88,495
4,13,4,14,14,4K4AA,511,3,A,4K4AA,496
4,13,13,4,-1,4KK4J,253,3,K,4KK4K,497
4,14,4,14,-1,4A4AJ,166,3,A,4A4AA,498
5,-1,10,10,5,5JTT5,775,3,T,5TTT5,499
5,2,5,2,14,5252A,912,3,5,5252A,500
5,3,7,3,7,53737,554,3,7,53737,501
5,3,12,12,5,53QQ5,447,3,Q,53QQ5,502
5,4,4,5,13,5445K,913,3,5,5445K,503
5,6,3,6,5,56365,348,3,6,56365,504
5,6,6,5,12,5665Q,260,3,6,5665Q,505
5,7,3,3,5,57335,972,3,5,57335,506
5,8,5,-1,-1,585JJ,773,3,5,58555,507
5,8,14,5,8,58A58,593,3,8,58A58,508
5,9,14,14,9,59AA9,678,3,A,59AA9,509
5,12,5,4,12,5Q54Q,293,3,Q,5Q54Q,510
5,12,5,12,6,5Q5Q6,201,3,Q,5Q5Q6,511
5,12,8,12,5,5Q8Q5,567,3,Q,5Q8Q5,512
5,12,14,12,14,5QAQA,274,3,A,5QAQA,513
5,14,12,12,5,5AQQ5,966,3,Q,5AQQ5,514
5,14,14,2,5,5AA25,337,3,A,5AA25,515
6,-1,6,2,2,6J622,975,3,6,66622,516
6,3,-1,6,3,63J63,762,3,6,63663,517
6,3,6,3,14,6363A,475,3,6,6363A,518
6,4,-1,6,4,64J64,552,3,6,64664,519
6,7,7,2,6,67726,114,3,7,67726,520
6,7,14,14,6,67AA6,440,3,A,67AA6,521
6,8,9,8,6,68986,487,3,8,68986,522
6,10,2,2,6,6T226,30,3,6,6T226,523
6,10,3,3,10,6T33T,85,3,T,6T33T,524
6,13,6,5,13,6K65K,152,3,K,6K65K,525
7,2,14,14,7,72AA7,25,3,A,72AA7,526
7,3,7,3,9,73739,399,3,7,73739,527
7,5,7,5,14,7575A,233,3,7,7575A,528
7,6,-1,6,7,76J67,172,3,7,76767,529
7,7,2,13,2,772K2,421,3,7,772K2,530
7,7,4,-1,4,774J4,673,3,7,77474,531
7,7,8,2,8,77828,223,3,8,77828,532
7,7,9,9,-1,7799J,263,3,9,77999,533
7,7,13,14,13,77KAK,478,3,K,77KAK,534
7,8,5,5,7,78557,846,3,7,78557,535
7,10,10,7,3,7TT73,410,3,T,7TT73,536
7,12,9,7,9,7Q979,834,3,9,7Q979,537
7,13,-1,13,7,7KJK7,816,3,K,7KKK7,538
8,-1,3,3,-1,8J33J,577,3,3,83333,539
8,-1,8,3,3,8J833,900,3,8,88833,540
8,-1,8,14,14,8J8AA,873,3,A,8A8AA,541
8,2,3,3,2,82332,181,3,3,82332,542
8,4,5,4,8,84548,572,3,8,84548,543
8,4,7,4,8,84748,865,3,8,84748,544
8,5,-1,-1,8,85JJ8,535,3,8,85888,545
8,5,13,8,5,85K85,67,3,8,85K85,546
8,6,6,4,4,86644,213,3,6,86644,547
8,6,6,9,9,86699,238,3,9,86699,548
8,6,6,14,8,866A8,367,3,8,866A8,549
8,7,5,5,8,87558,655,3,8,87558,550
8,7,6,6,8,87668,264,3,8,87668,551
8,7,7,13,8,877K8,790,3,8,877K8,552
8,7,8,10,10,878TT,880,3,T,878TT,553
8,8,10,12,12,88TQQ,892,3,Q,88TQQ,554
8,8,12,12,7,88QQ7,516,3,Q,88QQ7,555
8,10,5,8,5,8T585,517,3,8,8T585,556
8,12,12,2,2,8QQ22,607,3,Q,8QQ22,557
8,12,12,8,6,8QQ86,727,3,Q,8QQ86,558
8,14,7,7,8,8A778,53,3,8,8A778,559
8,14,14,4,8,8AA48,956,3,A,8AA48,560
9,2,5,2,5,92525,390,3,5,92525,561
9,4,9,10,4,949T4,484,3,9,949T4,562
9,7,13,7,9,97K79,373,3,9,97K79,563
9,9,5,6,5,99565,473,3,9,99565,564
9,9,12,6,6,99Q66,21,3,9,99Q66,565
9,9,13,13,-1,99KKJ,737,3,K,99KKK,566
9,9,13,13,4,99KK4,947,3,K,99KK4,567
9,12,12,9,7,9QQ97,186,3,Q,9QQ97,568
9,14,9,13,14,9A9KA,791,3,A,9A9KA,569
10,4,10,4,6,T4T46,556,3,T,T4T46,570
10,5,10,4,5,T5T45,722,3,T,T5T45,571
10,5,10,12,5,T5TQ5,546,3,T,T5TQ5,572
10,5,10,13,13,T5TKK,858,3,K,T5TKK,573
10,5,14,14,5,T5AA5,503,3,A,T5AA5,574
10,7,7,-1,-1,T77JJ,527,3,7,T7777,575
10,8,10,7,7,T8T77,435,3,T,T8T77,576
10,9,-1,9,10,T9J9T,120,3,T,T9T9T,577
10,10,5,14,14,TT5AA,86,3,A,TT5AA,578
10,10,6,12,12,TT6QQ,522,3,Q,TT6QQ,579
10,12,8,12,10,TQ8QT,895,3,Q,TQ8QT,580
10,13,10,13,8,TKTK8,275,3,K,TKTK8,581
12,-1,-1,10,12,QJJTQ,917,3,Q,QQQTQ,582
12,-1,5,-1,5,QJ5J5,412,3,5,Q5555,583
12,2,12,14,14,Q2QAA,826,3,A,Q2QAA,584
12,2,14,2,12,Q2A2Q,445,3,Q,Q2A2Q,585
12,3,14,12,3,Q3AQ3,318,3,Q,Q3AQ3,586
12,4,3,3,12,Q433Q,968,3,Q,Q433Q,587
12,4,13,12,4,Q4KQ4,79,3,Q,Q4KQ4,588
12,7,7,12,3,Q77Q3,159,3,Q,Q77Q3,589
12,12,5,3,3,QQ533,868,3,Q,QQ533,590
12,12,5,5,-1,QQ55J,322,3,Q,QQ55Q,591
13,2,12,13,2,K2QK2,163,3,K,K2QK2,592
13,3,7,3,7,K3737,165,3,7,K3737,593
13,3,12,12,3,K3QQ3,459,3,Q,K3QQ3,594
13,3,13,3,8,K3K38,195,3,K,K3K38,595
13,5,5,8,13,K558K,734,3,K,K558K,596
13,7,4,7,4,K7474,565,3,7,K7474,597
13,8,4,4,13,K844K,559,3,K,K844K,598
13,8,8,12,13,K88QK,512,3,K,K88QK,599
13,8,8,13,9,K88K9,203,3,K,K88K9,600
13,8,10,10,8,K8TT8,648,3,T,K8TT8,601
13,8,13,14,8,K8KA8,981,3,K,K8KA8,602
13,13,3,14,3,KK3A3,774,3,K,KK3A3,603
13,13,4,5,4,KK454,698,3,K,KK454,604
13,13,6,4,6,KK646,93,3,K,KK646,605
13,13,9,9,14,KK99A,741,3,K,KK99A,606
13,13,10,10,4,KKTT4,696,3,K,KKTT4,607
13,13,14,-1,14,KKAJA,444,3,A,KKAAA,608
13,14,14,9,13,KAA9K,44,3,A,KAA9K,609
14,2,4,4,14,A244A,783,3,A,A244A,610
14,2,6,6,14,A266A,483,3,A,A266A,611
14,4,9,14,9,A49A9,991,3,A,A49A9,612
14,4,14,4,12,A4A4Q,704,3,A,A4A4Q,613
14,5,3,14,3,A53A3,434,3,A,A53A3,614
14,5,13,5,14,A5K5A,584,3,A,A5K5A,615
14,6,3,14,3,A63A3,438,3,A,A63A3,616
14,6,5,5,6,A6556,73,3,6,A6556,617
14,7,-1,14,-1,A7JAJ,650,3,A,A7AAA,618
14,7,14,7,12,A7A7Q,171,3,A,A7A7Q,619
14,10,8,10,14,AT8TA,699,3,A,AT8TA,620
14,10,12,12,14,ATQQA,406,3,A,ATQQA,621
14,13,7,14,7,AK7A7,88,3,A,AK7A7,622
14,13,10,14,13,AKTAK,102,3,A,AKTAK,623
14,13,14,2,2,AKA22,563,3,A,AKA22,624
14,14,2,9,9,AA299,654,3,A,AA299,625
14,14,8,7,7,AA877,558,3,A,AA877,626
-1,2,2,7,2,J2272,628,4,2,22272,627
-1,2,4,2,2,J2422,338,4,2,22422,628
-1,3,10,3,3,J3T33,269,4,3,33T33,629
-1,3,13,3,3,J3K33,42,4,3,33K33,630
-1,5,5,13,5,J55K5,580,4,5,555K5,631
-1,5,14,5,5,J5A55,89,4,5,55A55,632
-1,8,13,8,8,J8K88,904,4,8,88K88,633
-1,9,6,9,9,J9699,303,4,9,99699,634
-1,14,14,14,5,JAAA5,428,4,A,AAAA5,635
-1,14,14,14,10,JAAAT,362,4,A,AAAAT,636
2,-1,8,8,8,2J888,610,4,8,28888,637
2,2,2,3,-1,2223J,182,4,2,22232,638
2,2,2,4,9,22249,731,4,2,22249,639
2,2,5,-1,2,225J2,335,4,2,22522,640
2,2,7,5,2,22752,32,4,2,22752,641
2,2,8,14,2,228A2,352,4,2,228A2,642
2,2,10,2,4,22T24,905,4,2,22T24,643
2,4,4,4,5,24445,630,4,4,24445,644
2,5,9,9,9,25999,62,4,9,25999,645
2,6,6,5,6,26656,677,4,6,26656,646
2,6,6,6,8,26668,290,4,6,26668,647
2,8,8,8,5,28885,350,4,8,28885,648
2,9,9,9,-1,2999J,188,4,9,29999,649
2,12,2,2,9,2Q229,468,4,2,2Q229,650
2,12,10,12,12,2QTQQ,819,4,Q,2QTQQ,651
3,-1,8,3,3,3J833,396,4,3,33833,652
3,7,7,8,7,37787,707,4,7,37787,653
3,9,3,3,6,39336,679,4,3,39336,654
3,12,3,9,3,3Q393,2,4,3,3Q393,655
4,-1,8,8,8,4J888,549,4,8,48888,656
4,-1,10,10,10,4JTTT,446,4,T,4TTTT,657
4,2,2,3,2,42232,256,4,2,42232,658
4,3,3,3,-1,4333J,893,4,3,43333,659
4,3,3,3,14,4333A,986,4,3,4333A,660
4,3,4,-1,4,434J4,689,4,4,43444,661
4,4,-1,8,4,44J84,586,4,4,44484,662
4,4,2,12,4,442Q4,374,4,4,442Q4,663
4,4,4,-1,14,444JA,682,4,4,4444A,664
4,4,4,2,-1,4442J,524,4,4,44424,665
4,4,4,13,5,444K5,729,4,4,444K5,666
4,4,6,4,-1,4464J,888,4,4,44644,667
4,4,9,6,4,44964,130,4,4,44964,668
4,5,3,4,4,45344,402,4,4,45344,669
4,5,4,4,7,45447,979,4,4,45447,670
4,6,4,4,14,4644A,807,4,4,4644A,671
4,6,10,10,10,46TTT,375,4,T,46TTT,672
4,7,4,3,4,47434,210,4,4,47434,673
4,8,4,12,4,484Q4,302,4,4,484Q4,674
4,9,4,3,4,49434,235,4,4,49434,675
4,10,2,10,10,4T2TT,280,4,T,4T2TT,676
4,10,4,13,4,4T4K4,864,4,4,4T4K4,677
4,13,12,13,13,4KQKK,579,4,K,4KQKK,678
4,14,14,5,14,4AA5A,804,4,A,4AA5A,679
5,-1,3,5,5,5J355,439,4,5,55355,680
5,2,5,3,5,52535,309,4,5,52535,681
5,3,3,3,10,5333T,116,4,3,5333T,682
5,3,3,4,3,53343,569,4,3,53343,683
5,4,5,5,6,54556,695,4,5,54556,684
5,4,5,7,5,54575,69,4,5,54575,685
5,5,-1,8,5,55J85,458,4,5,55585,686
5,5,5,2,-1,5552J,821,4,5,55525,687
5,5,6,2,5,55625,951,4,5,55625,688
5,5,7,6,5,55765,212,4,5,55765,689
5,8,4,4,4,58444,372,4,4,58444,690
5,10,5,5,14,5T55A,422,4,5,5T55A,691
5,10,6,5,5,5T655,711,4,5,5T655,692
5,13,13,13,-1,5KKKJ,613,4,K,5KKKK,693
5,13,13,14,13,5KKAK,327,4,K,5KKAK,694
6,-1,4,6,6,6J466,431,4,6,66466,695
6,3,7,7,7,63777,270,4,7,63777,696
6,4,4,4,5,64445,543,4,4,64445,697
6,4,4,4,12,6444Q,786,4,4,6444Q,698
6,5,5,5,-1,6555J,653,4,5,65555,699
6,6,-1,6,3,66J63,99,4,6,66663,700
6,6,6,3,13,6663K,967,4,6,6663K,701
6,6,6,9,2,66692,370,4,6,66692,702
6,6,6,12,7,666Q7,862,4,6,666Q7,703
6,6,12,2,6,66Q26,792,4,6,66Q26,704
6,9,9,9,2,69992,221,4,9,69992,705
6,10,2,10,10,6T2TT,45,4,T,6T2TT,706
6,10,10,5,10,6TT5T,853,4,T,6TT5T,707
6,12,8,8,8,6Q888,867,4,8,6Q888,708
6,12,14,6,6,6QA66,209,4,6,6QA66,709
6,13,-1,6,6,6KJ66,345,4,6,6K666,710
6,13,2,2,2,6K222,129,4,2,6K222,711
6,14,5,6,6,6A566,631,4,6,6A566,712
6,14,6,10,6,6A6T6,389,4,6,6A6T6,713
7,-1,7,7,13,7J77K,304,4,7,7777K,714
7,-1,14,14,14,7JAAA,341,4,A,7AAAA,715
7,2,2,9,2,72292,646,4,2,72292,716
7,4,-1,4,4,74J44,307,4,4,74444,717
7,4,14,4,4,74A44,541,4,4,74A44,718
7,5,9,9,9,75999,842,4,9,75999,719
7,6,6,5,6,76656,720,4,6,76656,720
7,7,3,5,7,77357,241,4,7,77357,721
7,7,5,-1,7,775J7,988,4,7,77577,722
7,7,5,14,7,775A7,176,4,7,775A7,723
7,7,6,12,7,776Q7,743,4,7,776Q7,724
7,7,7,3,9,77739,708,4,7,77739,725
7,7,7,8,6,77786,363,4,7,77786,726
7,7,7,13,12,777KQ,477,4,7,777KQ,727
7,8,8,8,6,78886,872,4,8,78886,728
7,9,9,9,-1,7999J,611,4,9,79999,729
7,10,13,7,7,7TK77,955,4,7,7TK77,730
7,14,12,12,12,7AQQQ,839,4,Q,7AQQQ,731
8,-1,8,8,9,8J889,232,4,8,88889,732
8,2,10,2,2,82T22,784,4,2,82T22,733
8,3,4,4,4,83444,52,4,4,83444,734
8,3,8,4,8,83848,595,4,8,83848,735
8,7,7,5,7,87757,488,4,7,87757,736
8,7,8,8,9,87889,767,4,8,87889,737
8,8,10,8,2,88T82,51,4,8,88T82,738
8,9,5,5,5,89555,606,4,5,89555,739
8,12,-1,12,12,8QJQQ,451,4,Q,8QQQQ,740
9,2,7,7,7,92777,57,4,7,92777,741
9,3,9,2,9,93929,50,4,9,93929,742
9,3,10,9,9,93T99,330,4,9,93T99,743
9,5,-1,9,9,95J99,534,4,9,95999,744
9,5,9,8,9,95989,295,4,9,95989,745
9,6,6,-1,6,966J6,590,4,6,96666,746
9,9,-1,9,10,99J9T,945,4,9,9999T,747
9,9,4,14,9,994A9,901,4,9,994A9,748
9,9,9,6,5,99965,119,4,9,99965,749
9,9,13,-1,9,99KJ9,840,4,9,99K99,750
9,9,13,9,14,99K9A,883,4,9,99K9A,751
9,10,10,4,10,9TT4T,851,4,T,9TT4T,752
9,12,-1,9,9,9QJ99,510,4,9,9Q999,753
9,12,12,12,14,9QQQA,486,4,Q,9QQQA,754
9,13,13,13,4,9KKK4,340,4,K,9KKK4,755
9,14,14,14,8,9AAA8,481,4,A,9AAA8,756
10,4,4,4,8,T4448,857,4,4,T4448,757
10,6,13,13,13,T6KKK,87,4,K,T6KKK,758
10,8,10,-1,10,T8TJT,939,4,T,T8TTT,759
10,10,-1,2,10,TTJ2T,144,4,T,TTT2T,760
10,10,5,10,9,TT5T9,889,4,T,TT5T9,761
10,10,10,13,-1,TTTKJ,823,4,T,TTTKT,762
10,10,12,10,2,TTQT2,879,4,T,TTQT2,763
10,14,10,10,6,TATT6,625,4,T,TATT6,764
12,-1,12,7,12,QJQ7Q,884,4,Q,QQQ7Q,765
12,2,5,12,12,Q25QQ,199,4,Q,Q25QQ,766
12,3,13,12,12,Q3KQQ,667,4,Q,Q3KQQ,767
12,5,9,12,12,Q59QQ,635,4,Q,Q59QQ,768
12,5,12,12,13,Q5QQK,861,4,Q,Q5QQK,769
12,10,12,12,9,QTQQ9,557,4,Q,QTQQ9,770
12,12,-1,2,12,QQJ2Q,521,4,Q,QQQ2Q,771
12,12,-1,5,12,QQJ5Q,926,4,Q,QQQ5Q,772
13,-1,8,13,13,KJ8KK,162,4,K,KK8KK,773
13,-1,13,6,13,KJK6K,890,4,K,KKK6K,774
13,-1,13,7,13,KJK7K,973,4,K,KKK7K,775
13,4,-1,13,13,K4JKK,744,4,K,K4KKK,776
13,4,4,7,4,K4474,633,4,4,K4474,777
13,5,13,10,13,K5KTK,118,4,K,K5KTK,778
13,7,6,6,6,K7666,55,4,6,K7666,779
13,7,13,3,13,K7K3K,169,4,K,K7K3K,780
13,8,4,13,13,K84KK,993,4,K,K84KK,781
13,8,5,8,8,K8588,911,4,8,K8588,782
13,8,13,7,13,K8K7K,542,4,K,K8K7K,783
13,9,9,9,10,K999T,550,4,9,K999T,784
13,12,5,5,5,KQ555,674,4,5,KQ555,785
13,13,12,13,6,KKQK6,670,4,K,KKQK6,786
13,13,13,4,3,KKK43,207,4,K,KKK43,787
13,14,14,2,14,KAA2A,623,4,A,KAA2A,788
13,14,14,8,14,KAA8A,688,4,A,KAA8A,789
14,-1,7,7,7,AJ777,712,4,7,A7777,790
14,-1,8,8,8,AJ888,47,4,8,A8888,791
14,-1,13,14,14,AJKAA,833,4,A,AAKAA,792
14,5,9,5,5,A5955,570,4,5,A5955,793
14,5,14,9,14,A5A9A,74,4,A,A5A9A,794
14,7,4,14,14,A74AA,430,4,A,A74AA,795
14,13,3,3,3,AK333,70,4,3,AK333,796
14,13,13,2,13,AKK2K,850,4,K,AKK2K,797
14,13,13,12,13,AKKQK,766,4,K,AKKQK,798
14,14,3,6,14,AA36A,829,4,A,AA36A,799
14,14,6,2,14,AA62A,995,4,A,AA62A,800
14,14,9,2,14,AA92A,71,4,A,AA92A,801
14,14,10,6,14,AAT6A,222,4,A,AAT6A,802
14,14,13,6,14,AAK6A,597,4,A,AAK6A,803
14,14,14,-1,2,AAAJ2,94,4,A,AAAA2,804
14,14,14,12,-1,AAAQJ,433,4,A,AAAQA,805
-1,3,3,-1,3,J33J3,312,5,3,33333,806
-1,4,4,4,-1,J444J,26,5,4,44444,807
-1,5,5,5,-1,J555J,1,5,5,55555,808
-1,9,-1,9,9,J9J99,746,5,9,99999,809
-1,10,-1,10,10,JTJTT,875,5,T,TTTTT,810
-1,13,-1,13,-1,JKJKJ,108,5,K,KKKKK,811
-1,14,14,14,-1,JAAAJ,382,5,A,AAAAA,812
2,-1,2,2,-1,2J22J,843,5,2,22222,813
2,2,6,6,6,22666,131,5,6,22666,814
2,2,7,7,2,22772,874,5,2,22772,815
2,2,9,2,9,22929,60,5,2,22929,816
2,8,2,8,8,28288,780,5,8,28288,817
2,8,8,2,2,28822,177,5,2,28822,818
2,10,10,2,10,2TT2T,20,5,T,2TT2T,819
2,14,14,2,14,2AA2A,11,5,A,2AA2A,820
3,3,4,4,3,33443,112,5,3,33443,821
3,3,6,3,6,33636,423,5,3,33636,822
3,3,8,8,3,33883,470,5,3,33883,823
3,3,12,3,12,33Q3Q,125,5,3,33Q3Q,824
3,13,13,13,3,3KKK3,629,5,K,3KKK3,825
3,14,14,14,3,3AAA3,974,5,A,3AAA3,826
4,2,2,2,4,42224,771,5,2,42224,827
4,4,2,4,2,44242,938,5,4,44242,828
4,4,4,3,3,44433,721,5,4,44433,829
4,4,5,4,5,44545,647,5,4,44545,830
4,7,7,4,7,47747,317,5,7,47747,831
4,10,10,4,4,4TT44,671,5,4,4TT44,832
5,2,2,2,5,52225,155,5,2,52225,833
5,5,3,3,3,55333,870,5,3,55333,834
5,5,4,4,5,55445,103,5,5,55445,835
5,5,5,3,3,55533,793,5,5,55533,836
5,6,6,5,6,56656,100,5,6,56656,837
5,12,12,5,12,5QQ5Q,848,5,Q,5QQ5Q,838
6,3,6,6,3,63663,8,5,6,63663,839
6,4,4,6,6,64466,204,5,6,64466,840
6,4,6,4,4,64644,649,5,4,64644,841
6,5,5,6,5,65565,471,5,5,65565,842
6,6,-1,-1,6,66JJ6,321,5,6,66666,843
6,6,8,8,8,66888,664,5,8,66888,844
6,9,9,6,6,69966,217,5,6,69966,845
6,13,6,6,13,6K66K,273,5,6,6K66K,846
7,-1,7,7,-1,7J77J,206,5,7,77777,847
7,5,5,7,5,75575,377,5,5,75575,848
7,7,2,2,7,77227,568,5,7,77227,849
7,7,3,3,7,77337,191,5,7,77337,850
7,7,7,8,8,77788,254,5,7,77788,851
7,9,9,7,7,79977,887,5,7,79977,852
8,-1,8,-1,-1,8J8JJ,825,5,8,88888,853
8,3,3,8,8,83388,320,5,8,83388,854
8,4,4,8,8,84488,179,5,8,84488,855
8,5,8,5,5,85855,395,5,5,85855,856
8,7,8,8,7,87887,828,5,8,87887,857
8,8,-1,8,-1,88J8J,259,5,8,88888,858
8,8,6,6,6,88666,777,5,6,88666,859
8,13,13,13,8,8KKK8,324,5,K,8KKK8,860
8,14,14,8,14,8AA8A,960,5,A,8AA8A,861
9,3,9,3,9,93939,379,5,9,93939,862
9,4,9,4,4,94944,161,5,4,94944,863
9,6,9,9,6,96996,813,5,9,96996,864
9,8,8,9,9,98899,657,5,9,98899,865
9,8,9,8,8,98988,92,5,8,98988,866
9,9,2,9,2,99292,216,5,9,99292,867
9,9,9,7,7,99977,957,5,9,99977,868
9,9,9,10,10,999TT,609,5,9,999TT,869
9,13,13,9,13,9KK9K,294,5,K,9KK9K,870
9,14,14,9,9,9AA99,836,5,9,9AA99,871
10,3,3,10,10,T33TT,83,5,T,T33TT,872
10,5,5,5,10,T555T,596,5,5,T555T,873
10,6,10,6,6,T6T66,333,5,6,T6T66,874
10,7,7,10,7,T77T7,733,5,7,T77T7,875
10,8,10,8,8,T8T88,123,5,8,T8T88,876
10,10,2,2,2,TT222,735,5,2,TT222,877
10,10,6,10,6,TT6T6,239,5,T,TT6T6,878
10,10,7,7,10,TT77T,666,5,T,TT77T,879
10,10,10,12,12,TTTQQ,612,5,T,TTTQQ,880
10,12,12,12,10,TQQQT,950,5,Q,TQQQT,881
10,13,10,10,13,TKTTK,676,5,T,TKTTK,882
10,14,10,14,14,TATAA,342,5,A,TATAA,883
12,4,12,4,4,Q4Q44,81,5,4,Q4Q44,884
12,5,5,12,5,Q55Q5,703,5,5,Q55Q5,885
12,12,-1,12,-1,QQJQJ,56,5,Q,QQQQQ,886
12,12,2,2,2,QQ222,918,5,2,QQ222,887
12,12,12,9,9,QQQ99,626,5,Q,QQQ99,888
13,-1,13,-1,13,KJKJK,200,5,K,KKKKK,889
13,2,13,2,2,K2K22,710,5,2,K2K22,890
13,5,13,5,5,K5K55,276,5,5,K5K55,891
13,9,13,9,9,K9K99,536,5,9,K9K99,892
13,10,10,13,13,KTTKK,717,5,K,KTTKK,893
13,13,4,4,4,KK444,243,5,4,KK444,894
13,13,4,13,4,KK4K4,10,5,K,KK4K4,895
13,13,13,2,2,KKK22,250,5,K,KKK22,896
13,14,13,14,13,KAKAK,37,5,K,KAKAK,897
14,2,14,2,2,A2A22,740,5,2,A2A22,898
14,6,6,14,6,A66A6,485,5,6,A66A6,899
14,9,14,9,14,A9A9A,639,5,A,A9A9A,900
14,13,14,13,14,AKAKA,789,5,A,AKAKA,901
14,14,5,5,5,AA555,170,5,5,AA555,902
14,14,8,8,8,AA888,886,5,8,AA888,903
14,14,10,10,10,AATTT,620,5,T,AATTT,904
14,14,14,5,5,AAA55,178,5,A,AAA55,905
-1,-1,-1,8,-1,JJJ8J,143,6,8,88888,906
-1,5,5,5,5,J5555,418,6,5,55555,907
-1,6,6,6,6,J6666,818,6,6,66666,908
-1,14,14,14,14,JAAAA,761,6,A,AAAAA,909
2,2,2,2,-1,2222J,693,6,2,22222,910
2,2,2,2,3,22223,314,6,2,22223,911
2,2,2,10,2,222T2,472,6,2,222T2,912
2,2,2,12,2,222Q2,599,6,2,222Q2,913
2,2,2,13,2,222K2,640,6,2,222K2,914
2,2,6,2,2,22622,378,6,2,22622,915
2,2,7,2,2,22722,492,6,2,22722,916
2,8,2,2,2,28222,877,6,2,28222,917
2,12,12,12,12,2QQQQ,109,6,Q,2QQQQ,918
2,14,2,2,2,2A222,359,6,2,2A222,919
3,3,3,-1,3,333J3,930,6,3,33333,920
3,3,3,3,9,33339,820,6,3,33339,921
3,3,3,5,3,33353,409,6,3,33353,922
3,3,3,13,3,333K3,49,6,3,333K3,923
3,3,10,3,3,33T33,753,6,3,33T33,924
3,5,5,5,5,35555,325,6,5,35555,925
3,8,8,8,8,38888,899,6,8,38888,926
3,14,3,3,3,3A333,618,6,3,3A333,927
4,2,2,2,2,42222,224,6,2,42222,928
4,4,4,-1,4,444J4,987,6,4,44444,929
4,4,4,2,4,44424,272,6,4,44424,930
4,4,4,4,6,44446,244,6,4,44446,931
4,4,4,4,8,44448,520,6,4,44448,932
4,4,5,4,4,44544,970,6,4,44544,933
4,4,12,4,4,44Q44,709,6,4,44Q44,934
4,6,6,6,6,46666,95,6,6,46666,935
4,8,8,8,8,48888,5,6,8,48888,936
5,5,4,5,5,55455,436,6,5,55455,937
5,5,5,2,5,55525,469,6,5,55525,938
5,5,5,5,7,55557,636,6,5,55557,939
5,5,5,5,10,5555T,805,6,5,5555T,940
5,5,8,5,5,55855,111,6,5,55855,941
5,5,12,5,5,55Q55,781,6,5,55Q55,942
5,5,14,5,5,55A55,117,6,5,55A55,943
5,9,5,5,5,59555,634,6,5,59555,944
6,5,6,6,6,65666,9,6,6,65666,945
6,6,6,10,6,666T6,287,6,6,666T6,946
6,6,6,12,6,666Q6,344,6,6,666Q6,947
6,6,7,6,6,66766,903,6,6,66766,948
6,10,10,10,10,6TTTT,266,6,T,6TTTT,949
7,3,3,3,3,73333,323,6,3,73333,950
7,7,7,7,-1,7777J,315,6,7,77777,951
7,7,7,7,2,77772,386,6,7,77772,952
7,7,7,7,5,77775,660,6,7,77775,953
7,7,7,7,6,77776,779,6,7,77776,954
7,7,7,7,12,7777Q,498,6,7,7777Q,955
7,7,7,7,14,7777A,962,6,7,7777A,956
8,3,3,3,3,83333,645,6,3,83333,957
8,7,8,8,8,87888,75,6,8,87888,958
8,8,8,8,-1,8888J,796,6,8,88888,959
8,8,8,9,8,88898,1000,6,8,88898,960
8,8,13,8,8,88K88,245,6,8,88K88,961
8,8,14,8,8,88A88,168,6,8,88A88,962
9,3,9,9,9,93999,4,6,9,93999,963
9,6,6,6,6,96666,845,6,6,96666,964
9,7,9,9,9,97999,107,6,9,97999,965
9,9,-1,9,9,99J99,989,6,9,99999,966
9,9,9,6,9,99969,349,6,9,99969,967
9,9,9,9,8,99998,158,6,9,99998,968
9,10,9,9,9,9T999,237,6,9,9T999,969
9,13,9,9,9,9K999,619,6,9,9K999,970
9,13,13,13,13,9KKKK,398,6,K,9KKKK,971
10,7,10,10,10,T7TTT,705,6,T,T7TTT,972
10,8,8,8,8,T8888,897,6,8,T8888,973
10,10,-1,10,10,TTJTT,426,6,T,TTTTT,974
10,10,9,10,10,TT9TT,334,6,T,TT9TT,975
10,12,10,10,10,TQTTT,36,6,T,TQTTT,976
10,12,12,12,12,TQQQQ,665,6,Q,TQQQQ,977
12,-1,12,12,12,QJQQQ,300,6,Q,QQQQQ,978
12,8,8,8,8,Q8888,401,6,8,Q8888,979
12,12,12,12,5,QQQQ5,61,6,Q,QQQQ5,980
12,12,12,12,9,QQQQ9,963,6,Q,QQQQ9,981
12,12,14,12,12,QQAQQ,91,6,Q,QQAQQ,982
13,5,5,5,5,K5555,906,6,5,K5555,983
13,5,13,13,13,K5KKK,561,6,K,K5KKK,984
13,7,7,7,7,K7777,519,6,7,K7777,985
13,13,2,13,13,KK2KK,545,6,K,KK2KK,986
13,13,4,13,13,KK4KK,454,6,K,KK4KK,987
13,13,6,13,13,KK6KK,617,6,K,KK6KK,988
13,13,7,13,13,KK7KK,331,6,K,KK7KK,989
13,13,13,-1,13,KKKJK,296,6,K,KKKKK,990
13,14,14,14,14,KAAAA,425,6,A,KAAAA,991
14,5,14,14,14,A5AAA,247,6,A,A5AAA,992
14,10,10,10,10,ATTTT,132,6,T,ATTTT,993
14,14,3,14,14,AA3AA,19,6,A,AA3AA,994
14,14,14,7,14,AAA7A,80,6,A,AAA7A,995
14,14,14,8,14,AAA8A,785,6,A,AAA8A,996
14,14,14,9,14,AAA9A,392,6,A,AAA9A,997
